close_price_jan10,close_price_jan11,close_price_jan12,close_price_jan13,close_price_jan14,close_price_jan17,close_price_jan18,close_price_jan19,close_price_jan20,close_price_jan21,coupon,ISIN,issue_date,maturity_date
102.91,102.89,102.9,102.87,102.79,102.53,102.35,102.26,102.3,102.38,0.0225,CA135087D507,6/29/2014,5/31/2025
100.12,100.17,100.13,100.12,100.01,99.7,99.57,99.43,99.45,99.65,0.015,CA135087E679,7/20/2015,5/31/2026
97.18,97.28,97.32,97.31,97.19,96.82,96.58,96.44,96.52,96.7,0.01,CA135087F825,8/2/2016,5/31/2027
102.395,102.475,102.375,102.395,102.245,101.795,101.47,101.41,101.45,101.82,0.02,CA135087H235,7/31/2017,5/31/2028
104.44,104.59,104.6,104.6,104.38,103.98,103.63,103.47,103.59,104.02,0.0225,CA135087J397,7/26/2018,5/31/2029
99.64,99.67,99.61,99.59,99.49,99.25,99.12,99.11,99.1,99.26,0.0125,CA135087K528,10/10/2019,2/28/2025
96.66,96.72,96.77,96.77,96.68,96.43,96.26,96.15,96.19,96.31,0.005,CA135087K940,4/2/2020,8/31/2025
90.21,90.36,90.25,90.28,90.05,89.59,89.29,89.2,89.25,89.79,0.005,CA135087L443,10/4/2020,11/30/2030
95.11,95.17,95.12,95.14,95.04,94.75,94.53,94.5,94.52,94.7,0.0025,CA135087L518,10/8/2020,2/28/2026
97.66,97.7,97.67,97.695,97.585,97.24,97.02,96.96,97,97.225,0.01,CA135087L930,4/15/2021,8/31/2026
98,98.18,98.02,98.09,97.81,97.34,96.97,96.91,96.96,97.47,0.015,CA135087M276,4/25/2021,5/31/2031
98.41,98.475,98.4,98.44,98.31,97.955,97.7,97.66,97.685,97.94,0.0125,CA135087M847,10/14/2021,2/28/2027
97.4,97.59,97.42,97.5,97.21,96.73,96.35,96.3,96.35,96.9,0.015,CA135087N266,10/24/2021,11/30/2031
125.14,125.17,125.09,125.01,124.91,124.58,124.37,124.29,124.25,124.4,0.09,CA135087VH40,8/1/1994,5/31/2025
133.3,133.37,133.3,133.22,133.06,132.6,132.28,132.17,132.16,132.5,0.08,CA135087VW17,4/30/1996,5/31/2027
128.79,128.92,128.79,128.78,128.52,128.04,127.64,127.55,127.57,128.09,0.0575,CA135087WL43,2/1/1998,5/31/2029
100.71,100.7,100.67,100.64,100.61,100.5,100.45,100.44,100.43,100.48,0.015,CA135087A610,7/29/2012,5/31/2023
103.02,102.98,102.97,102.93,102.88,102.67,102.57,102.54,102.53,102.62,0.025,CA135087B451,7/1/2013,5/31/2024
100.04,100.03,100.03,100.03,100.02,100.02,100,100,100,100.01,0.005,CA135087G328,10/10/2016,2/28/2022
100.94,100.93,100.91,100.88,100.86,100.76,100.71,100.71,100.71,100.75,0.0175,CA135087H490,10/5/2017,2/28/2023
102.31,102.31,102.26,102.22,102.18,101.99,101.91,101.9,101.88,101.97,0.0225,CA135087J546,10/4/2018,2/29/2024
100.56,100.63,100.62,100.58,100.52,100.29,100.21,100.15,100.17,100.27,0.015,CA135087J967,4/4/2019,8/31/2024
100.07,100.06,100.06,100.05,100.04,100.04,100.03,100.03,100.02,100.02,0.015,CA135087K601,11/3/2019,1/31/2022
100.35,100.34,100.34,100.32,100.31,100.28,100.27,100.27,100.26,100.27,0.015,CA135087K866,1/26/2020,4/30/2022
99.794,99.786,99.776,99.77,99.759,99.719,99.697,99.701,99.714,99.739,0.0025,CA135087L286,5/3/2020,7/31/2022
99.55,99.54,99.52,99.52,99.5,99.43,99.4,99.42,99.43,99.46,0.0025,CA135087L369,8/16/2020,10/31/2022
97.96,97.96,97.93,97.9,97.86,97.68,97.61,97.6,97.6,97.71,0.0025,CA135087L690,10/15/2020,3/31/2024
99.31,99.26,99.29,99.28,99.26,99.18,99.12,99.1,99.15,99.2,0.0025,CA135087L773,10/25/2020,1/31/2023
99.08,99.07,99.05,99.04,99.01,98.9,98.85,98.87,98.87,98.92,0.0025,CA135087L856,2/4/2021,4/30/2023
98.808,98.8,98.781,98.763,98.736,98.61,98.553,98.549,98.558,98.611,0.0025,CA135087M359,5/13/2021,7/31/2023
98.555,98.56,98.53,98.485,98.44,98.205,98.115,98.125,98.14,98.275,0.0075,CA135087M508,7/11/2021,9/30/2024
98.968,98.955,98.934,98.911,98.878,98.732,98.666,98.654,98.661,98.717,0.005,CA135087M763,8/8/2021,10/31/2023
99.2,99.2,99.16,99.13,99.09,98.92,98.84,98.84,98.83,98.9,0.0075,CA135087M920,10/21/2021,1/31/2024
103.39,103.36,103.33,103.25,103.21,103.16,103.12,103.1,103.03,103.02,0.0925,CA135087UM44,12/14/1991,5/31/2022
109.62,109.59,109.54,109.46,109.42,109.28,109.2,109.18,109.11,109.15,0.08,CA135087UT96,8/16/1992,5/31/2023
100.9,100.89,100.88,100.85,100.84,100.8,100.78,100.78,100.76,100.77,0.0275,CA135087ZU15,8/1/2011,5/31/2022